num	taxNum	taxon	rawImprovement	RBIC
0	NA	NA	0	0.322570
1	71	C_bucherae	1.400000	0.330391
2	94	C_dumalis	1.020000	0.336089
3	174	C_absus	0.530000	0.339050
4	52	C_swainsonii	0.250000	0.340447
5	69	C_aristata	0.610000	0.343855
6	83	C_glaziovii	0.220000	0.345084
7	45	C_pascuorum	0.170000	0.346034
8	170	C_planifolia	0.140000	0.346816
9	103	C_microsenna	0.110000	0.347430
10	46	C_repens	0.090000	0.347933
11	92	C_nummulariifolia	0.090000	0.348436
12	66	C_distichoclada	0.090000	0.348939
13	93	C_brachyblepharis	0.080000	0.349385
14	165	C_andromedea	0.080000	0.349832
15	129	C_cotinifolia	0.070000	0.350223
16	87	C_vauthieri	0.070000	0.350615
17	158	C_petiolata	0.060000	0.350950
18	156	C_incurvata	0.080000	0.351397
19	177	C_viscosa	0.060000	0.351732
20	89	C_rupertiana	0.060000	0.352067
21	98	C_pohliana	0.050000	0.352346
22	97	C_neesiana	0.090000	0.352849
23	95	C_chrysosepala	0.060000	0.353184
24	108	C_elata	0.050000	0.353464
25	106	C_scabra	0.050000	0.353743
26	104	C_campicola	0.040000	0.353966
27	70	C_simplifacta	0.040000	0.354190
28	162	C_monticola	0.040000	0.354413
29	139	C_multiseta	0.030000	0.354581
30	90	C_longicuspis	0.510000	0.357430
31	144	C_ciliolata	0.050000	0.357709
32	147	C_howardii	0.030000	0.357877
33	142	C_sophoroides	0.510000	0.360726
34	137	C_tephrosiifolia	0.100000	0.361285
35	148	C_spodiotricha	0.070000	0.361676
36	160	C_gumminans	0.050000	0.361955
37	143	C_ursina	0.040000	0.362179
38	145	C_adamantina	0.040000	0.362402
39	150	C_paniculata	0.030000	0.362570
40	47	C_roraimae	0.030000	0.362737
41	168	C_caiapo	0.030000	0.362905
42	163	C_conferta	0.020000	0.363017
43	161	C_myrophengens	0.030000	0.363184
44	164	C_caespitosa	0.020000	0.363296
45	138	C_oppositifolia	0.020000	0.363408
46	58	C_burchelii	0.020000	0.363520
47	105	C_dalbergiifolia	0.010000	0.363575
48	118	C_benthamiana	0.010000	0.363631
49	122	C_floribunda	0.010000	0.363687
50	120	C_strictula	0.020000	0.363799
51	123	C_densifolia	0.510000	0.366648
52	125	C_planaltoana	0.180000	0.367654
53	124	C_adenophora	0.060000	0.367989
54	112	C_mollicaulis	0.030000	0.368156
55	72	C_negrensis	0.010000	0.368212
56	76	C_souzana	0.010000	0.368268
57	80	C_punctata	0.010000	0.368324
58	146	C_tocantinensis	0.010000	0.368380
59	107	C_coradinii	0.110000	0.368994
60	88	C_ochnacea	0.010000	0.369050
61	109	C_feliciana	0.510000	0.371899
62	113	C_azulana	0.110000	0.372514
63	175	C_juruenensis	0.010000	0.372570
64	149	C_imbricans	0.010000	0.372626
