num	taxNum	taxon	rawImprovement	RBIC
0	NA	NA	0	0.345419
1	37	C_viscosa	0.750000	0.350258
2	98	C_ensiformis	0.610000	0.354194
3	7	C_andromedea	0.570000	0.357871
4	91	C_pascuorum	0.530000	0.361290
5	46	Melanoxylon_brauna	0.520000	0.364645
6	74	C_parvistipula	0.220000	0.366065
7	80	C_supplex	0.210000	0.367419
8	25	C_acicularis	0.200000	0.368710
9	34	C_incurvata	0.190000	0.369935
10	118	C_imbricans	0.170000	0.371032
11	92	C_bucherae	0.120000	0.371806
12	148	C_longicuspis	0.120000	0.372581
13	4	C_ursina	0.080000	0.373097
14	152	C_ciliolata	0.070000	0.373548
15	27	C_lamprosperma	0.060000	0.373935
16	149	C_planifolia	0.060000	0.374323
17	50	C_confertiformis	0.060000	0.374710
18	24	C_dumalis	0.050000	0.375032
19	99	C_scleroxylon	0.040000	0.375290
20	131	C_nanodes	0.030000	0.375484
21	70	C_swainsonii	0.030000	0.375677
22	12	C_adamantina	0.030000	0.375871
23	30	C_conferta	0.030000	0.376065
24	56	C_simplifacta	0.030000	0.376258
25	57	C_ulmea	0.540000	0.379742
26	13	C_stillifera	0.020000	0.379871
27	31	C_cathartica	0.030000	0.380065
28	14	C_spodiotricha	0.020000	0.380194
29	127	C_lavradiiflora	0.020000	0.380323
30	33	C_ochnacea	0.020000	0.380452
31	17	C_caspariifolia	0.030000	0.380645
32	117	C_paniculata	0.020000	0.380774
33	146	C_multiseta	0.020000	0.380903
34	154	C_chrysosepala	0.020000	0.381032
35	63	C_choriophylla	0.010000	0.381097
36	8	C_monticola	0.010000	0.381161
37	103	C_anamariae	0.010000	0.381226
38	104	C_chapadae	0.010000	0.381290
39	105	C_absus	0.010000	0.381355
40	60	C_tragacanthoides	0.010000	0.381419
41	15	C_flammata	0.010000	0.381484
42	157	C_ericifolia	0.010000	0.381548
