num	taxNum	taxon	rawImprovement	RBIC
0	NA	NA	0	0.290383
1	118	C_aspleniifolia	1.250000	0.296364
2	138	C_spodiotricha	1.210000	0.302153
3	25	Cassia_ferruginea	0.800000	0.305981
4	85	Senna_notabilis	0.790000	0.309761
5	201	C_kleinii	0.760000	0.313397
6	34	Senna_bauhinioides	0.690000	0.316699
7	157	C_petiolata	0.570000	0.319426
8	54	Senna_arnottiana	0.570000	0.322153
9	182	C_chapadae	0.530000	0.324689
10	210	C_simplifacta	0.280000	0.326029
11	104	Senna_aphylla	0.200000	0.326986
12	176	C_conferta	0.190000	0.327895
13	92	Senna_timorensis	0.180000	0.328756
14	108	Senna_williamsii	0.170000	0.329569
15	60	Senna_skinneri	0.170000	0.330383
16	199	C_fasciculata	0.140000	0.331053
17	10	C_greggi	0.130000	0.331675
18	121	C_bahiae	0.130000	0.332297
19	162	C_mollicaulis	0.110000	0.332823
20	139	C_setosa	0.520000	0.335311
21	19	Batesia_floribunda	0.100000	0.335789
22	1	C_aristata	0.100000	0.336268
23	109	Senna_kurtzii	0.090000	0.336699
24	53	Senna_birostris	0.090000	0.337129
25	0	C_burchelii	0.080000	0.337512
26	2	C_flexuosa	0.110000	0.338038
27	115	Senna_andrieuxii	0.070000	0.338373
28	181	C_anamariae	0.060000	0.338660
29	84	Senna_paradictyon	0.060000	0.338947
30	64	Senna_hayesiana	0.060000	0.339234
31	73	Senna_chloroclada	0.060000	0.339522
32	65	Senna_glutinosa	0.050000	0.339761
33	95	Senna_acclinis	0.610000	0.342679
34	96	Senna_pilifera	0.090000	0.343110
35	196	C_biensis	0.050000	0.343349
36	197	C_kunthiana	0.060000	0.343636
37	194	C_rufa	0.050000	0.343876
38	166	C_multiseta	0.050000	0.344115
39	130	C_lamprosperma	0.080000	0.344498
40	93	Senna_silvestris	0.050000	0.344737
41	167	C_dalbergiifolia	0.050000	0.344976
42	48	Senna_bicapsularis	0.040000	0.345167
43	86	Senna_reticulata	0.040000	0.345359
44	59	Senna_nicaraguensis	0.110000	0.345885
45	80	Senna_pleurocarpa	0.160000	0.346651
46	103	Senna_multijuga	0.040000	0.346842
47	120	C_amorimii	0.040000	0.347033
48	191	C_absus	0.040000	0.347225
49	178	C_salvatoris	0.120000	0.347799
50	202	C_wittei	0.030000	0.347943
51	51	Senna_subulata	0.020000	0.348038
52	39	Senna_corymbosa	0.450000	0.350191
53	55	Senna_aymara	0.160000	0.350957
54	205	C_arrojadoana	0.020000	0.351053
55	116	Senna_spectabilis	0.020000	0.351148
56	117	C_bucherae	0.020000	0.351244
57	119	C_xinguensis	0.590000	0.354067
58	211	C_cardiostegia	0.020000	0.354163
59	155	C_stillifera	0.020000	0.354258
60	171	C_howardii	0.020000	0.354354
61	173	C_incurvata	0.030000	0.354498
62	168	C_tephrosiifolia	0.130000	0.355120
63	134	C_anfracta	0.020000	0.355215
64	170	C_filicifolia	0.010000	0.355263
65	147	C_nummulariifolia	0.010000	0.355311
66	66	Senna_dariensis	0.010000	0.355359
67	189	C_oligosperma	0.010000	0.355407
68	161	C_fodinarum	0.010000	0.355455
69	9	C_serpens	0.010000	0.355502
70	76	Senna_affinis	0.010000	0.355550
71	187	C_roncadorensis	0.010000	0.355598
72	70	Senna_pinheiroi	0.010000	0.355646
73	69	Senna_gardneri	0.010000	0.355694
74	72	Senna_splendida	0.010000	0.355742
75	143	C_ciliolata	0.010000	0.355789
