num	taxNum	taxon	rawImprovement	RBIC
0	NA	NA	0	0.246898
1	59	C_ochnacea	0.860000	0.251497
2	121	C_bahiae	0.720000	0.255348
3	38	C_chrysosepala	0.580000	0.258449
4	60	C_caiapo	0.630000	0.261818
5	172	C_greggi	0.570000	0.264866
6	162	C_kunthiana	0.540000	0.267754
7	111	C_zygophylloides	0.500000	0.270428
8	4	C_punctulata	0.200000	0.271497
9	174	C_rotundata	0.190000	0.272513
10	168	C_parvistipula	0.100000	0.273048
11	61	C_lavradiiflora	0.080000	0.273476
12	175	C_anceps	0.070000	0.273850
13	92	C_paniculata	0.070000	0.274225
14	189	C_arrojadoana	0.060000	0.274545
15	137	C_aspleniifolia	0.060000	0.274866
16	11	C_viscosa	0.050000	0.275134
17	10	C_campestris	0.100000	0.275668
18	151	C_duckeana	0.040000	0.275882
19	106	C_jacobinea	0.040000	0.276096
20	82	C_nuda	0.040000	0.276310
21	138	C_duartei	0.030000	0.276471
22	31	C_monticola	0.030000	0.276631
23	149	C_kirkii	0.030000	0.276791
24	104	C_scabra	0.030000	0.276952
25	108	C_chapadae	0.030000	0.277112
26	143	C_cytisoides	0.030000	0.277273
27	152	C_pascuorum	0.030000	0.277433
28	42	C_claussenii	0.020000	0.277540
29	25	C_tephrosiifolia	0.020000	0.277647
30	114	C_anamariae	0.020000	0.277754
31	45	C_andromedea	0.020000	0.277861
32	57	C_sincorana	0.010000	0.277914
33	153	C_rufa	0.010000	0.277968
34	39	C_orbiculata	0.010000	0.278021
35	107	C_belemii	0.010000	0.278075
36	40	C_cathartica	0.010000	0.278128
37	26	C_aurivilla	0.010000	0.278182
38	34	C_strictula	0.010000	0.278235
