num	taxNum	taxon	rawImprovement	RBIC
0	NA	NA	0	0.183882
1	148	C_swainsonii	1.260000	0.192171
2	74	C_caiapo	0.730000	0.196974
3	57	C_cristalinae	0.590000	0.200855
4	70	C_barbata	0.550000	0.204474
5	31	C_gumminans	0.530000	0.207961
6	6	C_aspleniifolia	0.380000	0.210461
7	40	C_ursina	0.190000	0.211711
8	109	C_debilis	0.120000	0.212500
9	75	C_amiciella	0.090000	0.213092
10	111	C_decora	0.090000	0.213684
11	41	C_orbiculata	0.080000	0.214211
12	53	C_adenophylla	0.080000	0.214737
13	77	C_zygophylloides	0.070000	0.215197
14	78	C_paraunana	0.100000	0.215855
15	18	C_viscosa	0.080000	0.216382
16	16	C_punctulata	0.080000	0.216908
17	120	C_repens	0.070000	0.217368
18	149	C_roraimae	0.070000	0.217829
19	68	C_irwiniana	0.040000	0.218092
20	119	C_caribaea	0.030000	0.218289
21	0	C_mimosoides	0.560000	0.221974
22	150	C_biensis	0.030000	0.222171
23	123	C_duckeana	1.130000	0.229605
24	151	C_pilosa	0.030000	0.229803
25	154	C_rotundifolia	0.150000	0.230789
26	34	C_lamprosperma	0.020000	0.230921
27	42	C_ciliolata	0.520000	0.234342
28	33	C_carobinha	0.020000	0.234474
29	19	C_fagonioides	0.090000	0.235066
30	59	C_dumalis	0.020000	0.235197
31	106	C_lavradiiflora	0.020000	0.235329
32	46	C_crommyotricha	0.030000	0.235526
33	93	C_decumbens	0.020000	0.235658
34	35	C_howardii	0.020000	0.235789
35	107	C_andromedea	0.010000	0.235855
36	82	C_azulana	0.010000	0.235921
37	101	C_ericifolia	0.010000	0.235987
38	95	C_mollicaulis	0.010000	0.236053
39	96	C_anfracta	0.020000	0.236184
40	25	C_feliciana	0.010000	0.236250
41	61	C_strictula	0.010000	0.236316
42	80	C_dalbergiifolia	0.010000	0.236382
43	98	C_filicifolia	0.580000	0.240197
44	65	C_benthamiana	0.020000	0.240329
45	37	C_planaltoana	0.020000	0.240461
46	39	C_coradinii	0.020000	0.240592
47	38	C_echinocarpa	0.010000	0.240658
48	22	C_cathartica	0.010000	0.240724
49	99	C_planifolia	0.520000	0.244145
50	54	C_ustulata	0.010000	0.244211
51	85	C_strictifolia	0.010000	0.244276
