AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	ABCD->A,ABCD	ABCD->B,ABCD	ABCD->C,ABCD	ABCD->D,ABCD	ABCDE->B,ABCDE	ABCDEF->B,ABCDEF	ABCDEFH->A,ABCDEFH	ABCDEFH->B,ABCDEFH	ABCDEFHI->B,ABCDEFHI	ABCDEFI->A,ABCDEFI	ABCDEFI->C,ABCDEFI	ABCDEG->A,ABCDEG	ABCDEG->G,ABCDEG	ABCDEH->C,ABCDEH	ABCDEH->H,ABCDEH	ABCDEHI->C,ABCDEHI	ABCDEI->B,ABCDEI	ABCDEI->E,ABCDEI	ABCDF->B,ABCDF	ABCDF->F,ABCDF	ABCDFG->A,ABCDFG	ABCDFG->F,ABCDFG	ABCDFH->B,ABCDFH	ABCDFI->B,ABCDFI	ABCDG->G,ABCDG	ABCDH->B,ABCDH	ABCDI->B,ABCDI	ABCE->A,ABCE	ABCE->B,ABCE	ABCE->C,ABCE	ABCE->E,ABCE	ABCEF->A,ABCEF	ABCEF->B,ABCEF	ABCEF->C,ABCEF	ABCEF->F,ABCEF	ABCEFG->A,ABCEFG	ABCEFG->F,ABCEFG	ABCEFG->G,ABCEFG	ABCEFH->B,ABCEFH	ABCEFI->A,ABCEFI	ABCEFI->B,ABCEFI	ABCEFI->C,ABCEFI	ABCEG->A,ABCEG	ABCEG->G,ABCEG	ABCEH->A,ABCEH	ABCEH->B,ABCEH	ABCEHI->H,ABCEHI	ABCEI->C,ABCEI	ABCF->A,ABCF	ABCF->B,ABCF	ABCF->F,ABCF	ABCFG->B,ABCFG	ABCFG->F,ABCFG	ABCFGI->C,ABCFGI	ABCFH->A,ABCFH	ABCFH->B,ABCFH	ABCFHI->C,ABCFHI	ABCFI->B,ABCFI	ABCFI->C,ABCFI	ABCG->A,ABCG	ABCG->B,ABCG	ABCG->G,ABCG	ABCGH->C,ABCGH	ABCH->A,ABCH	ABCH->B,ABCH	ABCHI->B,ABCHI	ABCI->B,ABCI	ABCI->I,ABCI	ABD->A,ABD	ABD->B,ABD	ABD->D,ABD	ABDE->B,ABDE	ABDE->D,ABDE	ABDE->E,ABDE	ABDEG->A,ABDEG	ABDEI->A,ABDEI	ABDEI->B,ABDEI	ABDF->B,ABDF	ABDF->F,ABDF	ABDG->B,ABDG	ABDGH->B,ABDGH	ABDH->B,ABDH	ABE->A,ABE	ABE->B,ABE	ABE->E,ABE	ABEF->A,ABEF	ABEF->B,ABEF	ABEF->F,ABEF	ABEFG->A,ABEFG	ABEFG->F,ABEFG	ABEFG->G,ABEFG	ABEFGH->A,ABEFGH	ABEFGH->F,ABEFGH	ABEFH->A,ABEFH	ABEFI->A,ABEFI	ABEG->G,ABEG	ABEGI->E,ABEGI	ABEH->E,ABEH	ABEI->B,ABEI	ABF->A,ABF	ABF->B,ABF	ABF->F,ABF	ABFG->A,ABFG	ABFG->B,ABFG	ABFG->F,ABFG	ABFG->G,ABFG	ABFGH->A,ABFGH	ABFI->F,ABFI	ABG->B,ABG	ABG->G,ABG	ABH->A,ABH	ABHI->I,ABHI	ABI->A,ABI	ABI->B,ABI	ABI->I,ABI	AC->A,AC	AC->C,AC	ACD->A,ACD	ACD->C,ACD	ACD->D,ACD	ACDE->A,ACDE	ACDE->C,ACDE	ACDE->E,ACDE	ACDEF->A,ACDEF	ACDEF->F,ACDEF	ACDEG->A,ACDEG	ACDEH->C,ACDEH	ACDEI->E,ACDEI	ACDEI->I,ACDEI	ACDF->F,ACDF	ACDFH->F,ACDFH	ACDFI->C,ACDFI	ACDH->A,ACDH	ACE->C,ACE	ACEF->C,ACEF	ACEF->F,ACEF	ACEFG->A,ACEFG	ACEFG->E,ACEFG	ACEFG->G,ACEFG	ACEFHI->A,ACEFHI	ACEFI->C,ACEFI	ACEFI->F,ACEFI	ACEGH->C,ACEGH	ACEH->C,ACEH	ACEHI->C,ACEHI	ACF->A,ACF	ACF->C,ACF	ACF->F,ACF	ACFG->C,ACFG	ACFG->F,ACFG	ACFG->G,ACFG	ACFI->F,ACFI	ACG->A,ACG	ACG->G,ACG	ACH->A,ACH	ACH->C,ACH	ACH->H,ACH	ACI->C,ACI	ACI->I,ACI	AD->A,AD	AD->D,AD	ADE->A,ADE	ADE->D,ADE	ADE->E,ADE	ADEFGH->F,ADEFGH	ADEG->D,ADEG	ADEG->E,ADEG	ADEGH->A,ADEGH	ADEGH->E,ADEGH	ADEGH->H,ADEGH	ADEH->A,ADEH	ADEH->D,ADEH	ADEH->E,ADEH	ADEH->H,ADEH	ADEHI->A,ADEHI	ADF->F,ADF	ADFG->F,ADFG	ADG->A,ADG	ADG->D,ADG	ADH->A,ADH	ADH->D,ADH	ADHI->D,ADHI	ADHI->H,ADHI	ADHI->I,ADHI	ADI->A,ADI	ADI->D,ADI	AE->A,AE	AE->E,AE	AEF->F,AEF	AEFG->A,AEFG	AEFGH->G,AEFGH	AEG->A,AEG	AEGH->A,AEGH	AEGH->E,AEGH	AEGI->A,AEGI	AEGI->E,AEGI	AEH->A,AEH	AEH->E,AEH	AEH->H,AEH	AEHI->E,AEHI	AEHI->H,AEHI	AEI->A,AEI	AEI->E,AEI	AEI->I,AEI	AF->A,AF	AF->F,AF	AFG->A,AFG	AFG->F,AFG	AFI->F,AFI	AG->A,AG	AG->G,AG	AGH->G,AGH	AGH->H,AGH	AH->A,AH	AH->H,AH	AHI->A,AHI	AHI->I,AHI	AI->A,AI	AI->I,AI	BC->B,BC	BC->C,BC	BCD->B,BCD	BCD->C,BCD	BCD->D,BCD	BCDE->B,BCDE	BCDE->C,BCDE	BCDE->D,BCDE	BCDE->E,BCDE	BCDEF->B,BCDEF	BCDEFI->B,BCDEFI	BCDF->C,BCDF	BCDF->D,BCDF	BCDF->F,BCDF	BCDG->C,BCDG	BCDG->G,BCDG	BCDH->C,BCDH	BCDI->C,BCDI	BCDI->I,BCDI	BCE->B,BCE	BCE->C,BCE	BCE->E,BCE	BCEF->B,BCEF	BCEF->C,BCEF	BCEF->F,BCEF	BCEFG->G,BCEFG	BCEFH->F,BCEFH	BCEFI->B,BCEFI	BCEFI->C,BCEFI	BCEH->B,BCEH	BCEH->C,BCEH	BCEHI->B,BCEHI	BCEI->C,BCEI	BCEI->I,BCEI	BCF->B,BCF	BCF->C,BCF	BCF->F,BCF	BCFG->B,BCFG	BCFG->C,BCFG	BCFG->F,BCFG	BCFG->G,BCFG	BCG->C,BCG	BCH->B,BCH	BCI->B,BCI	BCI->I,BCI	BD->B,BD	BD->D,BD	BDE->B,BDE	BDE->D,BDE	BDE->E,BDE	BDEF->E,BDEF	BDEF->F,BDEF	BDEHI->E,BDEHI	BDF->B,BDF	BDH->B,BDH	BDH->D,BDH	BDH->H,BDH	BDI->D,BDI	BE->B,BE	BE->E,BE	BEF->F,BEF	BEFG->E,BEFG	BEFG->F,BEFG	BEFG->G,BEFG	BEG->G,BEG	BEGH->G,BEGH	BEH->E,BEH	BEI->B,BEI	BEI->E,BEI	BEI->I,BEI	BF->B,BF	BF->F,BF	BFH->H,BFH	BG->B,BG	BG->G,BG	BH->B,BH	BH->H,BH	BI->B,BI	BI->I,BI	CD->C,CD	CD->D,CD	CDE->C,CDE	CDE->D,CDE	CDE->E,CDE	CDEF->F,CDEF	CDEH->H,CDEH	CDH->C,CDH	CDH->D,CDH	CDI->C,CDI	CDI->I,CDI	CE->C,CE	CE->E,CE	CEF->F,CEF	CEFG->G,CEFG	CEFI->C,CEFI	CEH->C,CEH	CEH->E,CEH	CEH->H,CEH	CEI->C,CEI	CF->C,CF	CF->F,CF	CFG->C,CFG	CFG->F,CFG	CFG->G,CFG	CG->C,CG	CG->G,CG	CH->C,CH	CH->H,CH	CHI->C,CHI	CHI->I,CHI	CI->C,CI	CI->I,CI	DE->D,DE	DE->E,DE	DEG->E,DEG	DEGHI->H,DEGHI	DEH->D,DEH	DEH->E,DEH	DEH->H,DEH	DEHI->E,DEHI	DEHI->I,DEHI	DEI->D,DEI	DEI->I,DEI	DF->D,DF	DF->F,DF	DFI->F,DFI	DG->D,DG	DG->G,DG	DGH->H,DGH	DGHI->D,DGHI	DGHI->H,DGHI	DH->D,DH	DH->H,DH	DHI->D,DHI	DI->D,DI	DI->I,DI	EF->E,EF	EF->F,EF	EFG->F,EFG	EG->E,EG	EG->G,EG	EGH->G,EGH	EGHI->E,EGHI	EH->E,EH	EH->H,EH	EHI->E,EHI	EHI->H,EHI	EI->E,EI	EI->I,EI	FG->F,FG	FG->G,FG	FI->F,FI	GH->G,GH	GH->H,GH	GI->I,GI	HI->H,HI	HI->I,HI
1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	1	0	1	0
3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
6	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
9	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
