A->A,A	B->B,B	C->C,C	D->D,D	E->E,E	F->F,F	G->G,G	H->H,H	I->I,I
1	14	59	14	85	12	1	3	1	11
2	7	68	5	86	6	0	3	20	11
3	8	64	5	91	9	0	3	5	13
4	10	78	6	87	6	6	2	1	12
5	16	52	12	92	7	0	2	0	12
6	13	79	1	86	11	2	2	1	11
7	6	80	5	77	7	0	2	13	11
8	11	69	8	88	5	3	4	8	10
9	13	76	3	93	9	1	2	0	12
10	21	72	6	91	7	0	2	1	12
11	9	81	5	73	22	0	5	0	12
12	7	65	5	100	5	5	2	11	12
13	7	71	4	90	10	1	2	7	10
14	10	74	3	97	11	1	2	0	12
15	7	64	9	87	8	0	1	16	10
16	25	69	3	84	7	0	2	0	11
17	21	70	3	84	9	1	2	1	13
18	13	66	9	82	7	0	2	3	11
19	24	64	2	85	7	1	5	0	10
20	8	74	2	98	11	1	2	5	12
21	2	70	10	88	19	0	2	2	12
22	11	77	4	87	15	3	3	4	11
23	4	60	12	94	10	1	2	6	9
24	12	51	11	89	20	1	2	0	11
25	25	78	1	77	3	3	2	1	12
26	10	78	1	84	7	2	1	10	12
27	7	67	6	97	8	0	2	2	11
28	12	56	9	93	12	0	2	7	11
29	24	72	9	84	3	2	2	4	11
30	24	76	0	92	6	2	2	1	12
31	28	65	16	85	10	0	2	1	12
32	23	71	6	89	5	1	2	0	13
33	3	71	4	98	19	0	2	9	11
34	13	76	7	85	10	0	2	0	11
35	4	78	3	83	18	3	4	0	9
36	4	63	9	105	3	1	2	1	11
37	15	73	4	80	21	0	4	2	10
38	4	57	9	84	9	1	2	13	15
39	7	62	11	86	17	4	2	1	11
40	16	71	8	84	10	1	2	5	10
41	25	60	1	106	2	1	1	2	11
42	25	73	12	82	6	2	2	1	11
43	16	68	3	78	30	3	2	1	11
44	24	56	8	88	7	2	2	0	13
45	19	57	9	88	6	0	1	2	11
46	4	53	11	83	16	0	5	1	25
47	28	64	10	84	4	0	3	6	12
48	21	76	2	88	4	3	2	1	11
49	16	64	8	88	3	0	3	16	11
50	14	72	10	81	3	0	2	9	10
