"all_names","ETS","ITS","matK","trnDT","trnLF"
"Batesia floribunda",TRUE,TRUE,TRUE,TRUE,TRUE
"C absus",TRUE,TRUE,TRUE,TRUE,FALSE
"C acicularis",TRUE,TRUE,TRUE,TRUE,TRUE
"C acosmifolia",TRUE,TRUE,FALSE,TRUE,TRUE
"C adamantina",TRUE,TRUE,TRUE,TRUE,FALSE
"C adenophora",TRUE,TRUE,FALSE,TRUE,FALSE
"C adenophylla",TRUE,TRUE,FALSE,FALSE,TRUE
"C adiantifoliia",FALSE,TRUE,TRUE,TRUE,TRUE
"C altoana",FALSE,TRUE,FALSE,FALSE,TRUE
"C amiciella",TRUE,TRUE,FALSE,TRUE,TRUE
"C amorimii",TRUE,TRUE,TRUE,TRUE,TRUE
"C anamariae",TRUE,TRUE,TRUE,TRUE,TRUE
"C anceps",FALSE,FALSE,FALSE,TRUE,TRUE
"C andersonii",FALSE,TRUE,FALSE,TRUE,TRUE
"C andromedea",TRUE,TRUE,TRUE,TRUE,TRUE
"C anfracta",TRUE,TRUE,TRUE,TRUE,TRUE
"C arboae",TRUE,TRUE,FALSE,TRUE,TRUE
"C aristata",TRUE,TRUE,TRUE,TRUE,TRUE
"C arrojadoana",TRUE,TRUE,TRUE,TRUE,TRUE
"C aspleniifolia",TRUE,FALSE,TRUE,TRUE,TRUE
"C auris zerdae",FALSE,TRUE,FALSE,FALSE,TRUE
"C aurivilla",FALSE,TRUE,TRUE,TRUE,TRUE
"C azulana",TRUE,TRUE,FALSE,TRUE,TRUE
"C bahiae",TRUE,TRUE,TRUE,TRUE,TRUE
"C barbata",TRUE,TRUE,FALSE,TRUE,TRUE
"C basifolia",TRUE,FALSE,FALSE,TRUE,TRUE
"C belemii",TRUE,TRUE,TRUE,TRUE,TRUE
"C belladonna",FALSE,TRUE,FALSE,FALSE,TRUE
"C benthamiana",TRUE,TRUE,TRUE,TRUE,TRUE
"C biensis",TRUE,FALSE,TRUE,FALSE,TRUE
"C blanchetii",TRUE,TRUE,FALSE,TRUE,TRUE
"C botryoides",TRUE,TRUE,FALSE,TRUE,TRUE
"C brachyblepharis",TRUE,TRUE,FALSE,TRUE,TRUE
"C brachyrachys",TRUE,TRUE,FALSE,FALSE,TRUE
"C brachystachya",TRUE,TRUE,TRUE,TRUE,TRUE
"C bracteolata",TRUE,TRUE,TRUE,TRUE,TRUE
"C brevicalyx",TRUE,TRUE,FALSE,TRUE,TRUE
"C bucherae",TRUE,TRUE,TRUE,TRUE,TRUE
"C burchelii",TRUE,TRUE,TRUE,TRUE,TRUE
"C caespitosa",TRUE,TRUE,FALSE,TRUE,TRUE
"C caiapo",TRUE,TRUE,FALSE,TRUE,TRUE
"C calycioides",FALSE,TRUE,FALSE,FALSE,TRUE
"C campestris",FALSE,TRUE,FALSE,TRUE,TRUE
"C campicola",TRUE,TRUE,FALSE,TRUE,TRUE
"C cardiostegia",TRUE,TRUE,TRUE,TRUE,TRUE
"C caribaea",TRUE,TRUE,FALSE,TRUE,TRUE
"C carobinha",TRUE,TRUE,TRUE,FALSE,TRUE
"C caspariifolia",TRUE,TRUE,FALSE,TRUE,TRUE
"C catapodia",TRUE,FALSE,FALSE,TRUE,TRUE
"C cathartica",TRUE,TRUE,TRUE,TRUE,TRUE
"C catharticoides",TRUE,FALSE,TRUE,FALSE,FALSE
"C cavalcantina",FALSE,TRUE,FALSE,FALSE,TRUE
"C celiae",FALSE,TRUE,FALSE,FALSE,TRUE
"C chaetostegia",FALSE,TRUE,FALSE,FALSE,TRUE
"C chapadae",TRUE,TRUE,TRUE,TRUE,FALSE
"C choriophylla",TRUE,TRUE,FALSE,TRUE,TRUE
"C chrysosepala",TRUE,TRUE,FALSE,TRUE,TRUE
"C ciliolata",TRUE,TRUE,TRUE,TRUE,TRUE
"C cinerascens",TRUE,TRUE,FALSE,TRUE,TRUE
"C claussenii",TRUE,TRUE,TRUE,TRUE,TRUE
"C compitalis",FALSE,TRUE,TRUE,TRUE,TRUE
